"Time"	xylR	arcA	lldR	betI	lldD	betT	betA	lldP	betB	ydeA	puuR	puuD	fadJ	appA	ackA	puuA	hybD	rpsJ	ssb	rplC
850	0.7693787	1.0000000	0.4614712	0.2888227	0.3971757	0.0443568	0.3037441	0.1774855	0.2539845	0.1913974	0.1949759	0.0402910	0.0399447	0.5665537	0.9724683	0.0202023	0.2326210	0.4853055	0.2235778	0.4025661
900	0.7691925	1.0000000	0.4614712	0.2888227	0.3971757	0.0443568	0.3037441	0.1774855	0.2541197	0.1913974	0.1949759	0.0402910	0.0399447	0.5643623	0.9724683	0.0202023	0.2326210	0.4870246	0.2238261	0.4025661
950	0.7691113	1.0000000	0.4614712	0.2888227	0.3971757	0.0443568	0.3037441	0.1774855	0.2541622	0.1913974	0.1949759	0.0402910	0.0399447	0.5633665	0.9724683	0.0202023	0.2326210	0.4877527	0.2239324	0.4025661
1000	0.7690765	1.0000000	0.4614712	0.2888227	0.3971757	0.0443568	0.3037441	0.1774855	0.2541755	0.1913974	0.1949759	0.0402910	0.0399447	0.5629173	0.9724683	0.0202023	0.2326210	0.4880571	0.2239780	0.4025661

0	0.7690122	1.0000000	0.4614713	0.2888259	0.3971757	0.0443361	0.3036893	0.1775033	0.2541609	0.1913976	0.1949777	0.0403240	0.0399484	0.5625084	0.9724241	0.0202075	0.2326217	0.4882894	0.2240297	0.4025721
50	0.7529756	0.7085835	0.4875420	0.3201711	0.4143050	0.0459656	0.3112336	0.1870984	0.2262763	0.1982076	0.2045685	0.0418315	0.0399460	0.5530064	0.9686119	0.0127256	0.2510763	0.4948885	0.2664225	0.4159333
100	0.6284596	0.4131451	0.6265757	0.5210244	0.5053810	0.0467635	0.3622341	0.2647300	0.1899082	0.3991950	0.2757526	0.0542675	0.0399452	0.4879587	0.9239817	0.0066873	0.3866725	0.5407557	0.5152472	0.5051166
150	0.4267637	0.2645760	0.7932454	0.7553012	0.6332633	0.0383709	0.4705689	0.4445122	0.1476563	0.6470123	0.4167573	0.0861847	0.0399454	0.3769970	0.7741667	0.0116037	0.6134308	0.6240084	0.7638720	0.6502868
200	0.2591090	0.2019168	0.8992252	0.8937803	0.7367729	0.0302882	0.5972364	0.6384267	0.1308587	0.7803163	0.5687299	0.1346680	0.0399474	0.2695944	0.5595725	0.0429881	0.7937503	0.7118276	0.8948830	0.7795497
250	0.1544463	0.1774304	0.9489611	0.9571326	0.7982280	0.0259223	0.6977729	0.7684353	0.1608978	0.8334436	0.6823917	0.1844745	0.0399517	0.1913732	0.3828414	0.1019220	0.8922394	0.7809887	0.9539997	0.8641432
