"Time"	xylR	arcA	lldR	betI	lldD	betT	betA	lldP	betB	ydeA	puuR	puuD	fadJ	appA	ackA	puuA	hybD	rpsJ	ssb	rplC
150	0.5799946	0.7744143	0.1053333	0.2552996	0.1946743	0.0414373	0.1626654	0.1201120	0.2560001	0.1630712	0.1429504	0.0232394	0.0073861	0.3220895	0.6930494	0.0294719	0.1387466	0.3878473	0.1966309	0.2690717
200	0.4463837	0.7427488	0.1576777	0.2059271	0.3002784	0.0648617	0.2414768	0.1131080	0.1722377	0.2450430	0.1066074	0.0117161	0.0002202	0.3468883	0.6804988	0.0251519	0.1704103	0.4528577	0.1103181	0.3185222
250	0.4170341	0.7964535	0.1124319	0.1859682	0.2462250	0.0387784	0.2203043	0.0741107	0.1615577	0.1723830	0.1199298	0.0210699	0.0000162	0.4056569	0.6686022	0.0423464	0.1204404	0.3280388	0.1628949	0.2620209
300	0.6123539	0.5774009	0.1493161	0.1798886	0.2644351	0.0233940	0.1814066	0.1080671	0.1889629	0.1351379	0.1482529	0.0176708	0.0000000	0.3495537	0.7007957	0.0332459	0.1253771	0.2171965	0.1111538	0.3282595
350	0.6427150	0.7336384	0.1464448	0.2569712	0.2970451	0.0271336	0.2029909	0.0976411	0.2492474	0.2089257	0.2262135	0.0276564	0.0019834	0.3633727	0.6901376	0.0254188	0.2046562	0.3346276	0.1518475	0.3154164
400	0.6086330	0.9474244	0.1354300	0.2408954	0.2793320	0.0235814	0.1656514	0.0934105	0.2424064	0.1855573	0.2223507	0.0349817	0.0083907	0.3910846	0.7357943	0.0686775	0.2192858	0.3751880	0.1980383	0.3493175
450	0.5290716	0.7520275	0.1250329	0.1795899	0.3257282	0.0409270	0.1276578	0.0742366	0.1634924	0.1397135	0.1229832	0.0272907	0.0040484	0.3999117	0.7523101	0.0274228	0.1483420	0.3639082	0.3171258	0.3004548
500	0.4593717	0.8867825	0.1302739	0.2458637	0.3364386	0.0335833	0.2442660	0.1253290	0.1451242	0.1105837	0.1402009	0.0309607	0.0012281	0.4339942	0.7037175	0.0053108	0.1648914	0.3397499	0.1127091	0.2862762
550	0.4552774	0.8853908	0.1813300	0.2281924	0.3072025	0.0564587	0.2047159	0.0651095	0.1748942	0.1204243	0.1093317	0.0272994	0.0129878	0.4086652	0.5295439	0.0045175	0.1882098	0.3951735	0.1464129	0.3175479
600	0.5191716	0.7764807	0.3138574	0.1961074	0.2806464	0.0307579	0.2431805	0.1166679	0.1417671	0.1044241	0.1518969	0.0205597	0.0268190	0.4009786	0.6118584	0.0065819	0.1556144	0.4070471	0.1776541	0.3085889
650	0.4623647	0.6849761	0.3644011	0.2916705	0.3988273	0.0299477	0.2477249	0.1253430	0.1648738	0.1081772	0.1395421	0.0651604	0.0117715	0.4350932	0.6415165	0.0385325	0.1563464	0.2983363	0.1421074	0.3260356
700	0.4081796	0.6804663	0.4179370	0.1991214	0.2986951	0.0947451	0.2506897	0.1417110	0.1705052	0.1951190	0.1003848	0.0292290	0.0438637	0.3400954	0.6732155	0.0098385	0.2580897	0.3656318	0.2247308	0.3075027
750	0.5398148	0.7489972	0.4083787	0.3157168	0.3434440	0.0388568	0.2341222	0.1199095	0.1936495	0.1710690	0.2108710	0.0209615	0.0550127	0.3502617	0.6914967	0.0120671	0.2086786	0.3750183	0.1679525	0.3549796
800	0.5066349	0.6410643	0.4295961	0.2766849	0.2982135	0.0379192	0.2405191	0.1807867	0.1538729	0.1846255	0.1979054	0.0471692	0.0162163	0.2745760	0.6253762	0.0256430	0.1987144	0.3648113	0.2310950	0.3881121
850	0.5872938	0.6940038	0.4039141	0.3410411	0.2383750	0.0177054	0.2078643	0.1445585	0.1974497	0.1756408	0.1941773	0.0291107	0.0422330	0.3657692	0.7242043	0.0149099	0.1567819	0.4597561	0.1767539	0.3125612
900	0.5106238	0.6251086	0.4712277	0.3131743	0.2981414	0.0164750	0.2369703	0.1330125	0.1370740	0.1842401	0.1584009	0.0121001	0.0211338	0.3861612	0.6822585	0.0154356	0.1983997	0.4305012	0.1992226	0.3110056
950	0.5004174	0.6452612	0.4028539	0.2261165	0.2936769	0.0230146	0.1689114	0.2045260	0.1579284	0.1244673	0.1413461	0.0211060	0.0258727	0.5431471	0.8684382	0.0048366	0.1589551	0.4766421	0.2603892	0.2665455
1000	0.4402062	0.7856933	0.3988246	0.2377397	0.3269728	0.0214845	0.2195602	0.1461304	0.2187781	0.1309463	0.1961001	0.0281341	0.0381265	0.4498024	0.7439451	0.0092965	0.1401938	0.4242008	0.2336805	0.3111291

0	0.4880259	0.7512376	0.2993430	0.1768331	0.3527594	0.0255595	0.2084403	0.1032827	0.1879053	0.1456696	0.1466529	0.0219882	0.0412071	0.4294238	0.6675144	0.0447513	0.2159483	0.3726016	0.1523189	0.2621654
50	0.5508282	0.6217070	0.3781388	0.1416976	0.3279808	0.0324105	0.1469688	0.1807512	0.1217571	0.0927673	0.1787028	0.0211533	0.0392089	0.5353322	0.6510362	0.0451272	0.1658840	0.3755077	0.0504970	0.2550766
100	0.5757458	0.4770413	0.4765287	0.2455765	0.2565324	0.0354414	0.1002458	0.0971826	0.0353453	0.1778707	0.1865233	0.0177921	0.0165571	0.3972345	0.7311766	0.0086362	0.1837235	0.3540178	0.0178504	0.2612550
150	0.4561033	0.4063311	0.4110066	0.3510246	0.3433847	0.0343003	0.0468957	0.1572987	0.0471893	0.3173396	0.2818685	0.0486854	0.0221648	0.3545038	0.8303460	0.0078676	0.2482687	0.3202015	0.0280796	0.3177901
200	0.4868665	0.3644363	0.4535868	0.5830624	0.3522932	0.0413088	0.0720049	0.1096921	0.0066721	0.5306169	0.2706009	0.0521158	0.0211134	0.3655731	0.6341355	0.0012930	0.2898179	0.4500834	0.0568893	0.3365475
250	0.3537234	0.3922903	0.3895226	0.6744110	0.3628908	0.0287270	0.0581187	0.1470108	0.0014024	0.4603955	0.2973456	0.0411258	0.0242892	0.2741097	0.6518307	0.0016594	0.4807101	0.4538829	0.0776601	0.4810124
