"Time"	kdgR	eda	gntR	idnR	idnO	idnT	idnK	gntU	gntK	idnD
950	0.8053106	0.0023849	0.6484135	0.0383874	0.1476696	0.2169709	0.1332248	0.6034988	0.3095372	0.1252509
1000	0.7309449	0.0034981	0.7056643	0.0419340	0.1696658	0.1824419	0.2225850	0.5909297	0.3329315	0.0923339

0	0.6786721	0.0071833	0.6144292	0.0259363	0.1648490	0.1844760	0.1578037	0.6660660	0.3279623	0.0986573
50	0.6478350	0.0029435	0.6385183	0.0263713	0.1371140	0.1146370	0.0581653	0.6034607	0.3432830	0.2840230
100	0.6176310	0.0000443	0.6425431	0.0094089	0.1083335	0.0622883	0.0339630	0.6367322	0.2879489	0.2835169
150	0.6925848	0.0000000	0.5681307	0.0133650	0.1205454	0.1043046	0.0366799	0.7117706	0.3807466	0.3995621
200	0.6718842	0.0025068	0.6440666	0.0053643	0.0989484	0.0699223	0.0388480	0.6112970	0.2872626	0.3498376
250	0.6238924	0.0066203	0.6779960	0.0054157	0.1450380	0.0649999	0.0435751	0.6403683	0.3784825	0.3929810
300	0.6106370	0.0114112	0.7718582	0.0082857	0.1513014	0.0676679	0.0320479	0.5204539	0.3672423	0.3728646
350	0.6776190	0.0076568	0.6492309	0.0046140	0.1707719	0.0687995	0.0188940	0.6154781	0.2971323	0.4302987
400	0.7793443	0.0031587	0.6393944	0.0114264	0.2032265	0.0777524	0.0469598	0.5661989	0.3755381	0.3851140
450	0.7052255	0.0061823	0.5749483	0.0056193	0.2215972	0.0502427	0.0537836	0.5250574	0.3796502	0.3223592
500	0.6461257	0.0002150	0.7558592	0.0033381	0.1734607	0.0341555	0.0438056	0.6289580	0.3480383	0.3076370
550	0.5803985	0.0008977	0.7310902	0.0361280	0.1806457	0.1320512	0.1134347	0.6010108	0.3527302	0.0679727
600	0.9423273	0.0069403	0.7997616	0.0355939	0.1724842	0.0903866	0.1252512	0.5730033	0.3254975	0.0686086
650	0.7286447	0.0120989	0.6720854	0.0706688	0.1044564	0.1052188	0.1783380	0.5578091	0.3266738	0.0577125
700	0.8210905	0.0096661	0.6607267	0.0581065	0.1033348	0.1296088	0.1408366	0.6459565	0.3066661	0.1220943
750	0.6886975	0.0068413	0.7088428	0.0526364	0.2066117	0.1747606	0.0834608	0.7305997	0.2942578	0.0777346
800	0.5742033	0.0077330	0.6802767	0.0464203	0.1083073	0.0889022	0.1219723	0.7948422	0.3537160	0.0735189
850	0.5720623	0.0013933	0.6445525	0.0425620	0.1194187	0.0942015	0.1147707	0.5921850	0.2742285	0.0747888
900	0.6697640	0.0033485	0.6880522	0.0738452	0.1511414	0.1245262	0.1245474	0.5579431	0.2483143	0.0918086
950	0.5497140	0.0042472	0.5862839	0.0572639	0.1320165	0.1182125	0.1233074	0.7992939	0.2581695	0.1017785
1000	0.7117966	0.0015201	0.7355330	0.0620907	0.1774118	0.1371865	0.1157028	0.6331990	0.2861732	0.1152234

0	0.6985329	0.0124758	0.5843986	0.0447570	0.2140661	0.1670731	0.1175075	0.6239528	0.4052618	0.0611466
50	0.3603332	0.0152760	0.2012310	0.0836218	0.2260356	0.2926903	0.1663423	0.7478765	0.2996620	0.1244340
100	0.3360132	0.0524314	0.0853248	0.2160302	0.3109839	0.6055070	0.2306259	0.6134739	0.3873008	0.1567956
150	0.3444081	0.2847896	0.0378807	0.3765836	0.3658484	0.6703332	0.3080751	0.7265846	0.4171835	0.3458512
200	0.3049499	0.3626201	0.0659809	0.2969247	0.5944685	0.7275029	0.3490413	0.7272676	0.5146169	0.3249784
250	0.3879965	0.3806823	0.0647642	0.3885480	0.6959379	0.7213671	0.3821492	0.6440181	0.4663621	0.4223724
300	0.3240381	0.4444764	0.0414473	0.4046041	0.5629973	0.6400117	0.3689135	0.7056768	0.4749277	0.3703357
350	0.2504031	0.3892271	0.0514550	0.3626573	0.6083619	0.5488481	0.3823706	0.8128786	0.5085654	0.4274214
400	0.3350877	0.3915052	0.0678615	0.4024153	0.5792048	0.8530629	0.5003271	0.5166082	0.4401612	0.4340549
450	0.3488244	0.4435106	0.0534793	0.4426479	0.5263973	0.7180100	0.4279332	0.6583819	0.5212085	0.4680486
500	0.3523803	0.3695953	0.0567233	0.3623271	0.6201296	0.6608741	0.3927647	0.7587261	0.4400194	0.3464540
550	0.5921741	0.1410549	0.5442092	0.2747422	0.6183643	0.6018681	0.3210414	0.6077657	0.2925064	0.3885116
600	0.6989355	0.0924898	0.7124399	0.1748168	0.6118821	0.2090020	0.1393402	0.5722017	0.2843819	0.2769887
650	0.6650545	0.0560778	0.6074496	0.1177159	0.4733279	0.3192792	0.2070686	0.6135990	0.2205865	0.1864699
700	0.6988986	0.0089094	0.7119389	0.0509915	0.3078680	0.2414669	0.1644968	0.6705917	0.3090396	0.1865804
750	0.5149052	0.0088788	0.6538993	0.0428311	0.1990914	0.2718244	0.1391286	0.8324701	0.2485209	0.1427261
800	0.6773190	0.0050315	0.8216708	0.0791686	0.1406626	0.1604530	0.1576116	0.5855134	0.2776552	0.1052889
850	0.6971688	0.0013427	0.7059136	0.0510875	0.1052559	0.1502869	0.0926388	0.6409524	0.2676398	0.0911655
900	0.7848694	0.0031777	0.6059165	0.0443593	0.0901868	0.1495530	0.1182726	0.6939372	0.3096706	0.0658316
950	0.7405493	0.0121910	0.6822834	0.0602473	0.1783362	0.1323404	0.1300810	0.7442824	0.3513459	0.0696478
1000	0.5480110	0.0054567	0.7134079	0.0573971	0.1055792	0.1291799	0.1617969	0.6653588	0.2945520	0.0498512

0	0.6162409	0.0220938	0.7687997	0.0830080	0.1293649	0.1443218	0.1494734	0.6354893	0.3334398	0.0534396
50	0.7427937	0.0010633	0.6762069	0.0110582	0.1358397	0.2229225	0.1935578	0.6982835	0.3179703	0.1271183
100	0.6598724	0.0000374	0.6045054	0.0132962	0.1392896	0.1590829	0.1300376	0.6612598	0.2616557	0.0808639
150	0.6384087	0.0001341	0.6545346	0.0097676	0.1562178	0.0745665	0.1396473	1.0000000	0.3776158	0.0771043
200	0.7704012	0.0000070	0.6852265	0.0089576	0.0883191	0.1012149	0.1840379	0.7256508	0.3017791	0.0919360
250	0.7835901	0.0009068	0.7160685	0.0039132	0.0922347	0.0993880	0.1262265	0.7286594	0.2459540	0.1848734
300	0.6056412	0.0018715	0.7162557	0.0006027	0.1339644	0.1365519	0.0880124	0.7870926	0.2571118	0.1657071
350	0.6972112	0.0001470	0.5964270	0.0067785	0.1702352	0.1282006	0.1387338	0.6051490	0.2354487	0.1130841
400	0.6537306	0.0000131	0.6441643	0.0009792	0.1416664	0.1364427	0.1395754	0.6518031	0.2880348	0.0979634
