"Time"	relE	relB	hokD	alaS	ilvN
850	0.0557161	0.7845485	0.0604697	0.7551257	0.7651199
900	0.0846318	0.6689867	0.0954799	0.7769031	0.7330900
950	0.0590434	0.5345497	0.0348511	0.6128239	0.6706917
1000	0.0695543	0.6161199	0.0669216	0.6265372	0.6645384

0	0.1508957	0.7382858	0.0814762	0.5310387	0.7177838
50	0.0508354	0.8701821	0.0685743	0.4711677	0.8787770
100	0.0311636	0.8594153	0.1030764	0.2116363	0.5738219
150	0.0026097	0.7626839	0.2015036	0.1174527	0.6547182
200	0.0022868	0.8341907	0.2254338	0.0554236	0.8259512
250	0.0034709	0.7507054	0.2718660	0.0565654	0.7089230
300	0.0038518	0.8266589	0.3059590	0.0510791	0.7750555
350	0.0024890	0.7509019	0.3428912	0.0621519	0.6745486
400	0.0008986	0.7123880	0.5926207	0.0880943	0.7914830
450	0.0015213	0.6542218	0.5428133	0.0484004	0.7882851
500	0.0005242	0.8143850	0.5782550	0.0386410	0.6456851
550	0.0251737	0.6266817	0.3952985	0.2917739	0.6444648
600	0.0644490	0.5773404	0.3578904	0.4671807	0.8088339
650	0.0633754	0.6407617	0.0957931	0.6287206	0.6968924
700	0.0537864	0.7163727	0.1140102	0.5990329	0.6590922
750	0.0458461	0.8406344	0.0821607	0.5620135	0.7420828
800	0.0900100	0.7333764	0.0729458	0.7486177	0.7562659
850	0.0599783	0.7352377	0.0790077	0.7976949	0.8263368
900	0.0493076	0.7494861	0.0846860	0.6463386	0.6982814
950	0.0996442	0.7448090	0.0914790	0.7944151	0.5563866
1000	0.0758832	0.7319154	0.1162732	0.7331661	0.6302246

0	0.0668958	0.8387711	0.0780493	0.5289916	0.5474006
50	0.0990035	0.6038584	0.0672184	0.7070443	0.7995629
100	0.0383942	0.6242547	0.0559863	0.7215764	0.6313563
150	0.0787350	0.6868386	0.1082356	0.6794069	0.7033013
200	0.0479912	0.7374303	0.1159037	0.6538220	0.6848110
250	0.0379913	0.7197610	0.0760248	0.7793937	0.4898317
300	0.0816027	0.7013375	0.0351361	0.7666039	0.6461737
350	0.0836218	0.6225714	0.0445367	0.8034268	0.7667570
400	0.1009396	0.6887862	0.0679045	0.8100733	0.9549336
450	0.1079044	0.7081406	0.0499857	0.8108980	0.6996601
500	0.1510239	0.7561918	0.0343243	0.7028547	0.7093045
550	0.0566840	0.6388756	0.0346592	0.7219396	0.6596017
600	0.0333863	0.6680209	0.0500974	0.7615306	0.7990692
650	0.0708809	0.6659621	0.0925096	0.6833937	0.5527441
700	0.0606000	0.6431451	0.0517575	0.7444256	0.6606900
750	0.0470581	0.7789135	0.0591968	0.6701509	0.5866679
800	0.0868732	0.6867024	0.0467031	0.7418100	0.7951757
850	0.0726132	0.6418355	0.0673993	0.7629203	0.8557822
900	0.1254427	0.8024963	0.0884486	0.6165902	0.6912896
950	0.1160983	0.7409988	0.0907994	0.6525253	0.6360104
1000	0.0623354	0.7610277	0.0702440	0.7209458	0.6883294

0	0.0753656	0.6217655	0.0610728	0.7520671	0.7878315
50	0.0760757	0.8678103	0.0540921	0.7369555	0.4134497
100	0.0722525	0.7640600	0.0423259	0.7330989	0.2900153
150	0.0661903	0.7149639	0.0653689	0.6847352	0.3028269
200	0.0437669	0.7791417	0.0854003	0.7428088	0.2706509
250	0.0394420	0.7759838	0.0644844	0.7735822	0.1654606
300	0.0666748	0.6936133	0.0664167	0.4619331	0.1655898
350	0.0290918	0.6970808	0.1360709	0.6704076	0.1686387
400	0.0759331	0.6720581	0.0789107	0.7850148	0.1832536
450	0.0389473	0.6918798	0.0902396	0.7166830	0.2557969
500	0.0408352	0.6383090	0.1231875	0.6470648	0.1153459
550	0.0597925	0.6346061	0.0444144	0.6221483	0.5010621
600	0.0629587	0.6869549	0.0832516	0.7876637	0.7596104
650	0.0482399	0.7874607	0.0474691	0.9328004	0.6768798
700	0.0681371	0.7045169	0.0631395	0.8335587	0.6045784
750	0.0744444	0.7646229	0.0978651	0.7787083	0.5673025
800	0.0523660	0.6631319	0.0287542	0.7861986	0.7156545
850	0.0952702	0.7228191	0.0859678	0.8087110	0.6312919
900	0.0496061	0.7329779	0.0558682	0.6251170	0.7039148
950	0.0674784	0.7467660	0.0671839	0.7685808	0.6391130
1000	0.0403380	0.6343870	0.0828278	0.7972872	0.6878011

0	0.0796358	0.6796848	0.0758491	0.6723278	0.6016931
50	0.1381834	0.7453487	0.0854232	0.6687152	0.8338816
100	0.1112967	0.6912357	0.0430008	0.5409986	0.7634645
150	0.0923827	0.8120418	0.0044601	0.4553622	0.7696046
200	0.0601133	0.5640262	0.0098246	0.4154878	0.7450043
250	0.0970280	0.6807390	0.0004748	0.4616316	0.8154801
300	0.0497637	0.7459737	0.0073529	0.4234397	0.7896121
350	0.0435177	0.6535224	0.0030955	0.4729455	0.6614415
400	0.0224042	0.7948646	0.0031486	0.4423688	0.6797847
450	0.0455459	0.8023453	0.0016143	0.4154896	0.6077166
500	0.0421564	0.7206840	0.0021493	0.3906508	0.7800531
550	0.0860729	0.7015038	0.0524534	0.5336706	0.6732333
600	0.0795748	0.6667669	0.0708479	0.6289240	0.6055191
650	0.0859064	0.6959994	0.0572575	0.6525278	0.6981563
700	0.1132702	0.6485559	0.0795679	0.7246928	0.8202131
750	0.0929465	0.6224371	0.1111464	0.7734951	0.6558902
800	0.0747144	0.5583007	0.0473154	0.7298530	0.6765041
850	0.0568743	0.5548314	0.0757996	0.6599205	0.8016016
900	0.0490947	0.7338061	0.0535957	0.8207400	0.9280498
950	0.1070066	0.7187170	0.0541021	0.7627489	0.7695134
1000	0.0944336	0.7309093	0.0578093	0.8107243	0.8150141

0	0.1045098	0.7737992	0.0778706	0.5952980	0.6283192
50	0.0740177	0.6897521	0.0649467	0.4018025	0.8136409
100	0.1092672	0.6697690	0.1114440	0.2528645	0.6205153
150	0.0523680	0.7781907	0.0899822	0.2438455	0.7209732
200	0.0619096	0.8641266	0.0715335	0.1358652	0.6893464
250	0.0475580	0.6469562	0.0898920	0.1321088	0.6352550
300	0.0424775	0.7687164	0.0908635	0.1112636	0.7667001
350	0.0491840	0.7161910	0.1075018	0.1390375	0.6775148
400	0.0587303	0.6279542	0.0489396	0.1586523	0.6873134
450	0.0725139	0.7944402	0.0389443	0.1801861	0.7321568
500	0.0628238	0.6479676	0.0573469	0.1359060	0.6418272
550	0.0792740	0.7150286	0.0596047	0.2961850	0.6673683
600	0.0419124	0.8586406	0.0546562	0.4969770	0.6651994
650	0.0583489	0.8877215	0.1043495	0.6033145	0.7156611
700	0.0417154	0.7522993	0.1194753	0.5830170	0.7143271
750	0.1158259	0.8495634	0.1062590	0.6828526	0.7512566
