"Time"	gadX	torR	rutR	gadW	hdeA	gadY	yhiD	dctR	hdeB	gadC
800	0.0068615	1.0434050	1.0339516	1.0511060	0.3999681	0.0078890	0.8934401	0.0139452	0.8968793	0.0104146
850	0.0043547	0.9929529	1.0061633	1.0243500	0.4036925	0.0030680	0.8447315	0.0059877	0.9332410	0.0144154
900	0.0133897	0.9834003	1.0051914	1.0226309	0.3598947	0.0049910	0.9165689	0.0023526	0.9436618	0.0109436
950	0.0230985	0.9820778	1.1008033	1.0403330	0.3573048	0.0102878	0.8623485	0.0108314	0.9854978	0.0178547
1000	0.0143589	1.0982603	0.9539880	0.9635502	0.3601323	0.0091043	0.7582244	0.0313361	0.9096042	0.0160227

0	0.0136695	1.0170041	1.0721733	1.0793691	0.3926231	0.0111080	0.7505467	0.0158926	0.9119853	0.0215148
50	0.0107816	0.9917017	0.3342504	1.0059875	0.4518844	0.0160635	0.7949616	0.0268612	0.9641821	0.0205454
100	0.0109215	0.9689239	0.1341076	0.9406969	0.4784793	0.0077546	0.7725552	0.0310893	0.9732959	0.0295060
150	0.1074539	0.9695121	0.1486879	0.9790626	0.4782921	0.0082250	0.8598979	0.0289153	1.0276442	0.0201830
200	0.2321163	0.9226918	0.1659034	0.9692486	0.5491551	0.0114215	0.8778435	0.0980434	0.8715863	0.0123925
250	0.2891361	0.9742791	0.1628067	0.9586639	0.5594304	0.0141240	0.7699334	0.2806077	0.8451208	0.0288001
300	0.3384022	1.0234518	0.1628802	0.9812476	0.5684636	0.0134837	0.6675445	0.3362842	0.7183052	0.0444971
350	0.4748244	1.0072458	0.1513382	0.9279714	0.5081411	0.0128858	0.6068886	0.4332995	0.7289238	0.0701735
400	0.4891035	0.9818849	0.1430592	0.9107322	0.5730444	0.0331692	0.5454814	0.4039208	0.7873126	0.1166383
450	0.5501362	1.1019255	0.1319059	1.0101540	0.6161319	0.0415893	0.5474673	0.4616124	0.7896595	0.1990057
500	0.5077327	0.9974543	0.1454542	0.9861971	0.5290735	0.0505232	0.5886352	0.5102342	0.8087898	0.1592427
550	0.3076605	1.0082130	0.8752387	1.0314926	0.4861037	0.0627897	0.2701380	0.5874075	0.7397919	0.1813146
600	0.1194476	1.0264510	0.9564196	0.8917198	0.4453898	0.0231746	0.1471823	0.4606200	0.7868754	0.1013125
650	0.0473449	0.9733870	0.9795855	0.5979618	0.4164741	0.0017574	0.2543068	0.2532340	0.7719685	0.0445436
700	0.0134679	1.0148736	0.9712214	0.6518886	0.5038427	0.0084418	0.4664258	0.0895269	0.8431941	0.0273840
750	0.0188488	1.0620632	1.0333352	0.9556451	0.4574319	0.0157138	0.6117544	0.0326309	0.7953233	0.0177170
800	0.0089337	1.0311862	1.0402216	0.9864307	0.4376212	0.0158970	0.7270112	0.0291796	0.8543669	0.0196757
850	0.0103050	0.9269085	1.0175099	0.9809496	0.4671026	0.0141230	0.7322835	0.0356691	0.9227501	0.0249840
900	0.0098616	0.9376060	1.0585420	0.9656921	0.4246893	0.0023359	0.8112149	0.0133250	0.8081045	0.0157055
950	0.0042681	0.9967387	1.0859400	0.9912225	0.3913058	0.0069970	0.8103978	0.0240971	0.9125854	0.0164002
1000	0.0032983	0.9773883	1.0304815	0.9900260	0.3870813	0.0152954	0.7959174	0.0047441	0.9606339	0.0206586

0	0.0136695	1.0170041	1.0721733	1.0793691	0.3926231	0.0111080	0.7505467	0.0158926	0.9119853	0.0215148
50	0.0087869	1.0115947	1.0287860	0.3112645	0.4915022	0.0073018	0.7243630	0.0068756	0.9218159	0.2438903
100	0.0436901	0.9354537	0.9972504	0.1203117	0.5335345	0.0048284	0.8333000	0.0119960	0.8700231	0.2769115
150	0.1415854	0.9575681	0.9180032	0.0392955	0.7060165	0.0021486	0.7789814	0.0049176	0.8220960	0.2880315
200	0.2455711	0.9514616	1.0027123	0.0124663	0.8221597	0.0038850	0.7624401	0.0195618	0.8412412	0.3676011
250	0.3249846	0.9707335	1.0464410	0.0076463	0.8284331	0.0004899	0.7275454	0.0077617	0.6801981	0.3038576
300	0.3289095	0.9683131	0.9900453	0.0026812	0.8793826	0.0036969	0.7567815	0.0102181	0.5710380	0.3214864
350	0.3108077	0.9030557	0.9501263	0.0014654	0.8450527	0.0066857	0.7651132	0.0003197	0.4835012	0.3895378
400	0.3709369	0.9915716	0.9621138	0.0072096	0.9508982	0.0049858	0.7762022	0.0009919	0.4469456	0.3512557
450	0.3690503	0.9744605	1.0011433	0.0008691	0.9322192	0.0075436	0.8127016	0.0037599	0.4861598	0.3620387
500	0.3872958	0.9929439	0.9395469	0.0103133	1.0125655	0.0091265	0.7831726	0.0036239	0.4668984	0.4313358
550	0.3527396	0.9925622	0.9928140	0.1350333	0.8174004	0.0062645	0.5626758	0.0618041	0.5266263	0.2156230
600	0.2234513	1.0476118	0.9345515	0.1716444	0.7254309	0.0136685	0.4248458	0.0874087	0.5134386	0.1154447
650	0.1622791	1.0250349	1.0032471	0.2381520	0.7043504	0.0169672	0.5070152	0.1023479	0.5179236	0.0616534
700	0.1219528	0.9797532	0.9305938	0.3534486	0.6683784	0.0139812	0.5661250	0.0441055	0.6823184	0.0477950
750	0.0497098	0.9528683	0.9898589	0.4787177	0.6549168	0.0131643	0.6350562	0.0498908	0.7578217	0.0363277
800	0.0618853	0.9657991	1.0156239	0.6644709	0.5869884	0.0213421	0.7328533	0.0579857	0.9063452	0.0190825
850	0.0532956	0.9874576	1.0410507	0.6562387	0.4817446	0.0191426	0.7116662	0.0849036	0.9169244	0.0181344
900	0.0253283	0.9756350	0.9071626	0.8063558	0.4769767	0.0082525	0.7474228	0.0603105	0.9475482	0.0141503
950	0.0141385	0.9910793	1.0669334	0.9795397	0.4070425	0.0080108	0.8036540	0.0449746	0.9302903	0.0151564
1000	0.0016461	1.0878016	1.0288073	1.0408865	0.3588836	0.0109288	0.7691827	0.0390007	0.9920598	0.0182053

0	0.0136695	1.0170041	1.0721733	1.0793691	0.3926231	0.0111080	0.7505467	0.0158926	0.9119853	0.0215148
50	0.0024255	1.0002793	0.9138537	1.0541809	0.3432811	0.0039490	0.7741071	0.0097803	0.9932799	0.0151204
100	0.0003297	0.9605199	1.0038341	0.9928067	0.3371161	0.0055878	0.7901576	0.0034150	0.8815397	0.0107432
150	0.0009572	1.0326108	1.0320390	1.0328431	0.3682852	0.0051860	0.7937149	0.0068863	0.9074720	0.0149595
