"Time"	xylR	arcA	lldR	betI	lldD	betT	betA	lldP	betB	ydeA	puuR	puuD	fadJ	appA	ackA	puuA	hybD	rpsJ	ssb	rplC
850	0.7044543	0.9786495	0.4307734	0.2145141	0.3782879	0.0598757	0.3239038	0.2003070	0.2765295	0.1532426	0.2478986	0.0526536	0.0533950	0.5263463	0.9550384	0.0253925	0.2224184	0.5173978	0.2222728	0.3783321
900	0.7021082	0.9496848	0.4692381	0.2609031	0.4115483	0.0555714	0.3104748	0.2177121	0.2838270	0.1707487	0.2625276	0.0194976	0.0430852	0.5640693	0.8670330	0.0246823	0.2119157	0.4939424	0.2049306	0.4150759
950	0.7166853	0.9566846	0.5148688	0.3569943	0.3756022	0.0563242	0.3509419	0.2653402	0.2631230	0.2540617	0.2374961	0.0404855	0.0540131	0.5345047	1.0149759	0.0251431	0.2283031	0.5042961	0.2745111	0.4638107
1000	0.7841707	1.0275401	0.5061988	0.2930120	0.3579600	0.0373411	0.2957360	0.2348122	0.2648866	0.1992613	0.2020353	0.0397798	0.0399267	0.5860280	0.9903890	0.0167207	0.2469542	0.5235158	0.2559819	0.4121317

0	0.8053952	1.0430033	0.5027263	0.2848109	0.4076368	0.0596438	0.3139982	0.1678955	0.2677928	0.1726433	0.2185841	0.0346736	0.0329177	0.5984516	0.9806326	0.0255934	0.2377669	0.4847804	0.2140663	0.4079076
50	0.8338235	0.6071182	0.4909217	0.1551882	0.3035280	0.1033211	0.3594751	0.1118442	0.2999259	0.1068964	0.2154318	0.0542679	0.0182907	0.5552431	0.9808175	0.0011933	0.2048529	0.4703289	0.2691590	0.3950631
100	0.6747446	0.4883642	0.5186145	0.1836285	0.3290869	0.2373579	0.4929888	0.0677208	0.2583326	0.2190800	0.2651766	0.0553531	0.0441415	0.4936874	0.9691046	0.0004229	0.2559062	0.5478542	0.3955116	0.5351397
150	0.4849572	0.4605822	0.7601176	0.2533318	0.3269664	0.2285397	0.5189947	0.0748719	0.3191314	0.3567070	0.3791155	0.0837188	0.0473749	0.4611053	0.8761864	0.0020869	0.3418103	0.6017639	0.6529321	0.6202839
200	0.3522076	0.5023035	0.7184843	0.3593236	0.3200810	0.1418163	0.5181087	0.1235219	0.3000541	0.4751071	0.3675505	0.1130351	0.0451574	0.3854580	0.8725202	0.0010658	0.4403194	0.6149075	0.7466800	0.6951033
250	0.2817007	0.4723277	0.7972851	0.3350462	0.3447037	0.1027286	0.4680226	0.1288418	0.2592320	0.4570780	0.3971079	0.0985708	0.0507973	0.4311748	0.8238725	0.0017685	0.4443985	0.6215539	0.8122258	0.7053043
300	0.2731410	0.4572044	0.8693701	0.3579207	0.3863442	0.0948910	0.5317311	0.1481630	0.1960649	0.4852747	0.4175453	0.0673027	0.0382626	0.3422724	0.8355769	0.0033787	0.4996589	0.6700836	0.8790395	0.6620881
350	0.2503768	0.4830877	0.7986225	0.3391681	0.4022467	0.0736450	0.5619322	0.1767938	0.2123630	0.5198488	0.4228480	0.0887909	0.0466307	0.3290083	0.7900567	0.0002880	0.4722442	0.6560269	0.9276053	0.6876698
400	0.2575299	0.4155666	0.7719084	0.2994540	0.3484308	0.0969331	0.5458491	0.1100903	0.2102689	0.4575604	0.4470183	0.0799221	0.0472940	0.3877821	0.8940615	0.0025443	0.5222444	0.7338014	0.8549482	0.7195761
450	0.2050528	0.4163321	0.8213614	0.3168487	0.3477604	0.0602963	0.5049384	0.1272565	0.2349632	0.4292304	0.4557747	0.0783360	0.0380769	0.3959100	0.8022232	0.0015217	0.5075831	0.6418796	0.8757147	0.7782365
500	0.1606643	0.4289588	0.8044566	0.3876605	0.4186631	0.0675347	0.4922580	0.1395724	0.2528764	0.4270552	0.4195118	0.0860024	0.0436212	0.3533107	0.8469095	0.0087071	0.5383491	0.6940952	0.8210713	0.7379227
550	0.2539581	0.7518138	0.7176052	0.7560070	0.5744730	0.0410353	0.4722617	0.4165306	0.2324107	0.6891615	0.3357250	0.0841955	0.0445905	0.3027982	0.8622769	0.0250821	0.5954833	0.7369796	0.8240875	0.7576985
600	0.4697339	0.8495622	0.6880990	0.5607631	0.4841560	0.0390516	0.4045213	0.5050632	0.1437108	0.5295339	0.2876979	0.0643910	0.0445044	0.4072610	0.9655768	0.0089668	0.4134281	0.5899364	0.6902686	0.6052398
650	0.5382281	0.9158790	0.5881732	0.5226565	0.4536942	0.0316746	0.2998318	0.4359110	0.1447787	0.4196929	0.2427927	0.0626166	0.0463904	0.4807111	0.9469938	0.0105824	0.3372732	0.5591012	0.4818140	0.4517013
