"Time"	kdgR	eda	gntR	idnR	idnO	idnT	idnK	gntU	gntK	idnD
450	1.0000000	0.0035645	1.0000000	0.0084197	0.2219910	0.0963329	0.0507899	0.9999966	0.4934458	0.5172359
500	1.0000000	0.0035645	1.0000000	0.0084035	0.2219898	0.0963234	0.0507871	0.9999969	0.4934544	0.5171761
550	1.0000000	0.0035645	1.0000000	0.0423156	0.2220076	0.1671710	0.1541522	0.9999782	0.4917317	0.1574779
600	1.0000000	0.0035645	1.0000000	0.0568158	0.2222208	0.1908228	0.1862030	0.9998372	0.4867277	0.1057150
650	1.0000000	0.0035645	1.0000000	0.0630158	0.2226900	0.2004649	0.1963985	0.9995980	0.4822953	0.1102566
700	1.0000000	0.0035645	1.0000000	0.0656668	0.2231877	0.2047659	0.1997516	0.9993821	0.4796728	0.1185106
750	1.0000000	0.0035645	1.0000000	0.0668003	0.2235620	0.2067140	0.2008924	0.9992373	0.4783652	0.1234809
800	1.0000000	0.0035645	1.0000000	0.0672850	0.2237972	0.2075883	0.2012934	0.9991544	0.4777633	0.1259302
850	1.0000000	0.0035645	1.0000000	0.0674922	0.2239305	0.2079757	0.2014388	0.9991111	0.4774967	0.1270499
900	1.0000000	0.0035645	1.0000000	0.0675808	0.2240014	0.2081454	0.2014931	0.9990897	0.4773808	0.1275448
950	1.0000000	0.0035645	1.0000000	0.0676187	0.2240375	0.2082192	0.2015139	0.9990795	0.4773308	0.1277600
1000	1.0000000	0.0035645	1.0000000	0.0676349	0.2240553	0.2082511	0.2015221	0.9990748	0.4773094	0.1278528

0	1.0000000	0.0035646	1.0000000	0.0676497	0.2240852	0.2082806	0.2015287	0.9990696	0.4772897	0.1279382
50	0.6252327	0.0017081	0.2491103	0.0716869	0.2892774	0.4645498	0.2704626	0.9994383	0.4863385	0.1255728
100	0.5148232	0.1106771	0.1059445	0.3159052	0.4033219	0.8312526	0.4183531	0.9996988	0.6313237	0.2131863
150	0.4822956	0.4023278	0.0786483	0.4675919	0.5697110	0.9514808	0.5290763	0.9996127	0.7513463	0.3998535
