"Time"	fur	rcnR	metJ	metR	metE	metH	metA	rcnA	hmp	ydfN
0	0.7957843	0.8645836	0.1533525	0.6403797	0.3451976	0.2904122	0.6765630	0.1120024	0.7143993	0.0461283
50	0.6428251	0.8373886	0.2135797	0.7656726	0.3929658	0.3671825	0.7769542	0.1186788	0.4274018	0.0426417
100	0.7757837	0.7021311	0.1334634	0.5940814	0.5012223	0.3967904	0.7503865	0.1539326	0.4863052	0.0138141
150	0.8580189	0.8446102	0.1315037	0.7068429	0.3692951	0.3559294	0.6883118	0.0991413	0.4512579	0.0020560
200	0.9409359	0.8431948	0.1313732	0.8000316	0.4922407	0.3699296	0.7668331	0.0876488	0.6197128	0.0069318
250	0.7456802	0.8073141	0.1990441	0.7856681	0.4179011	0.3198637	0.7618054	0.0889500	0.4966683	0.0003282
300	0.7521239	0.7919087	0.1192702	0.6874632	0.3509807	0.3723782	0.7818958	0.2328957	0.4989521	0.0004192
350	0.8402742	0.8553088	0.1637589	0.7944665	0.4476229	0.5102058	0.7477865	0.1906836	0.5511793	0.0009032
400	0.6512095	0.5773491	0.1480288	0.5461085	0.3975156	0.3853706	0.7412219	0.2205855	0.4800335	0.0042660
450	0.7034208	0.8293066	0.1643588	0.6328708	0.4276422	0.4527641	0.7141636	0.1789261	0.5857646	0.0019965
500	0.7286223	0.6950107	0.1756125	0.6857175	0.4789247	0.3652485	0.7654231	0.2295363	0.5081384	0.0000558
550	0.6647449	0.7578591	0.1387593	0.6767069	0.4579925	0.4705055	0.6913178	0.2246844	0.4238545	0.0157513
600	0.6774921	0.8660406	0.1955362	0.7452939	0.4643466	0.2986848	0.7838646	0.1953675	0.4161252	0.0620904
650	0.6487212	0.7621558	0.1427413	0.8302484	0.3889806	0.3757046	1.0851581	0.2604463	0.4523700	0.0456957
700	0.7512111	0.7298016	0.1569938	0.7727917	0.3868785	0.3012289	0.7194716	0.1939595	0.5351020	0.0581370
750	0.6177560	0.7178671	0.1714444	0.7793390	0.4647425	0.3153927	0.6393896	0.1906316	0.4657771	0.0513835
800	0.6520827	0.7619189	0.1599811	0.6928830	0.3105082	0.3102965	0.6513529	0.1777822	0.5040021	0.0521189
850	0.6601391	0.7678826	0.1963549	0.6296055	0.2862874	0.3623163	0.7211544	0.1964795	0.5003731	0.0501237
900	0.5702420	0.7714685	0.2810545	0.6624042	0.2536219	0.3252127	0.7353891	0.1850106	0.5452974	0.0329617
950	0.6446737	0.6530153	0.3289863	0.6704779	0.3025355	0.3829813	0.7470122	0.1596684	0.4402739	0.0503832
1000	0.6676166	0.7288742	0.1981741	0.5882285	0.3109569	0.3525189	0.7284203	0.1838307	0.5500448	0.0673382

0	0.8157060	0.9286873	0.2136341	0.8061193	0.4641473	0.2458931	0.6785856	0.1628550	0.5163743	0.0463940
50	0.8463257	0.7828159	0.1641626	0.7344100	0.4300736	0.2717930	0.8198960	0.2011887	0.3287345	0.0631378
100	0.8078352	0.7980979	0.1469826	0.5163216	0.4386121	0.2975531	0.7939132	0.1421163	0.3005210	0.0602639
150	0.6564687	0.8258506	0.1021055	0.5006778	0.4286118	0.2675939	0.7530823	0.2069196	0.2727475	0.0888718
200	0.7755004	0.8052856	0.1294451	0.5709491	0.4256008	0.2268586	0.8696059	0.1559362	0.2772274	0.0332912
250	0.6920614	0.6700331	0.1330566	0.3828142	0.4927737	0.2725148	0.8191252	0.2021383	0.1695210	0.0342840
300	0.6711707	0.7733377	0.0912437	0.4529175	0.5157758	0.2492433	0.6934055	0.1168560	0.1506511	0.0367248
350	0.7026285	0.6107220	0.1159094	0.4964819	0.4094964	0.1926511	0.6758838	0.1460614	0.1642932	0.0370584
400	0.9023502	0.7251119	0.1624996	0.4774650	0.3485252	0.2490499	0.7391794	0.2121601	0.1717551	0.0621081
450	0.7616984	0.7191970	0.2086770	0.4176025	0.3859179	0.2649209	0.8142725	0.2042204	0.1881587	0.0689246
500	0.7979596	0.6737442	0.1130113	0.3722101	0.4294220	0.3324183	0.6637416	0.1971568	0.1673145	0.0497239
550	0.7836563	0.7211309	0.0852913	0.5600689	0.3784216	0.1615132	0.7384355	0.1633666	0.1955797	0.0404213
